fusion_id	aliquot_id	known_gene1	known_gene2	gene_id1	gene_id2	chr1	break1	chr2	break2	frameshift	exon	UTR	SV	SV_sv_id	SV2_sv_id	class	SV_match_composite	tx1_coord	tx2_coord	tx_bkpt1	tx_bkpt2	project_code	histology_abbreviation	wgs_aliquot_id	icgc_donor_id
AC005775.2->CACNG4	a367cb8b-ce7a-4cde-b568-ea223d732bd2	AC005775.2	CACNG4	ENSG00000266933	ENSG00000075461	19	501541	17	65028722	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000266933:NA	ENSG00000075461:NA	ENSG00000266933^19:501541:-	ENSG00000075461^17:65028722:+	OV-AU	Ovary-AdenoCA	e4aaca83-3ae9-47f6-a975-c144767ad705	DO46330
BCAM->H19	acf3338f-5a88-4b90-bf52-882f2f03fc08	BCAM	H19	ENSG00000187244	ENSG00000130600	19	45324265	11	2016833	Other	NA	NA	FALSE	NA	NA	SV independent	NA	ENSG00000187244:NA	ENSG00000130600:NA	ENSG00000187244^19:45324265:+	ENSG00000130600^11:2016833:-	OV-AU	Ovary-AdenoCA	6821446e-8e76-46fe-b0b9-47feb46d2585	DO46358
ZNF426->VWA3A	6e763361-46bf-45f1-ba95-f120258a37d3	ZNF426	VWA3A	ENSG00000130818	ENSG00000175267	19	9643521	16	22132835	in-frame	exon4->exon14	CDS->CDS	TRUE	SVMERGE141_1	SVMERGE50_1	composite	DUP:TRA	ENST00000535489.1:1-662	ENST00000389398.5:1349-4601	ENST00000535489.1^19:9643521:-	ENST00000389398.5^16:22132835:+	OV-AU	Ovary-AdenoCA	a3135834-3af0-4e98-bc6f-ad8ddf33db80	DO46342
SLC26A6->UQCRC1	d7098b7c-3032-481e-b0c8-1b3567319e89	SLC26A6	UQCRC1	ENSG00000225697	ENSG00000010256	3	48665897	3	48647463	NA	exon16->exon1	CDS->5UTR	FALSE	NA	NA	SV independent	NA	ENST00000395550.2:1-1818	ENST00000203407.5:8-1986	ENST00000395550.2^3:48665897:-	ENST00000203407.5^3:48647463:-	OV-AU	Ovary-AdenoCA	cf6c7066-6611-43ec-aef1-295a976cce5b	DO46390
FAM168B->ACTB	0f671165-5790-47bc-9793-9f63ffc36e42	FAM168B	ACTB	ENSG00000152102	ENSG00000075624	2	131849539	7	5567276	NA	intron1->exon6	5UTR->3UTR	FALSE	NA	NA	SV independent	NA	ENST00000409185.1:NA	ENST00000331789.5:NA	ENST00000409185.1^2:131849539:-	ENST00000331789.5^7:5567276:-	PACA-AU	Panc-AdenoCA	84a6ea88-eeb8-4060-a90c-e4abac013ad4	DO32980
RYK->UPK1B	dcdc31de-6cb8-4f41-a3a0-ad1b487709cc	RYK	UPK1B	ENSG00000163785	ENSG00000114638	3	133894453	3	118905561	NA	exon14->exon2	CDS->5UTR	TRUE	SVMERGE45_1	NA	direct	direct	ENST00000296084.4:1-1578	ENST00000264234.3:122-2119	ENST00000296084.4^3:133894453:-	ENST00000264234.3^3:118905561:+	PACA-AU	Panc-AdenoCA	ef3a0ccd-85bc-4e5f-a8c6-5a2e2d9e6717	DO49080
FLJ27365->SHISA2	dcdc31de-6cb8-4f41-a3a0-ad1b487709cc	FLJ27365	SHISA2	ENSG00000197182	ENSG00000180730	22	46499129	13	26621204	out-of-frame	exon4->exon2	CDS->CDS	FALSE	NA	NA	SV independent	NA	ENST00000381051.2:1-260	ENST00000319420.3:391-2861	ENST00000381051.2^22:46499129:+	ENST00000319420.3^13:26621204:-	PACA-AU	Panc-AdenoCA	ef3a0ccd-85bc-4e5f-a8c6-5a2e2d9e6717	DO49080
USP31->SRL	30465ec8-21e1-45f6-932a-e67c453fbc93	USP31	SRL	ENSG00000103404	ENSG00000185739	16	23119367	16	4254635	out-of-frame	exon2->exon2	CDS->CDS	TRUE	SVMERGE25_1	NA	direct	direct	ENST00000219689.7:1-771	ENST00000399609.3:75-4215	ENST00000219689.7^16:23119367:-	ENST00000399609.3^16:4254635:-	PACA-AU	Panc-AdenoCA	edac1323-2497-45e6-9148-e9c955292ba2	DO33248
SIPA1L3->ZNF527	8f518277-f131-48e9-9494-33beec0caac7	SIPA1L3	ZNF527	ENSG00000105738	ENSG00000189164	19	38423332	19	37879208	NA	intron1->exon5	5UTR->CDS	TRUE	SVMERGE9_1	NA	direct	direct	ENST00000222345.6:NA	ENST00000436120.2:NA	ENST00000222345.6^19:38423332:+	ENST00000436120.2^19:37879208:+	PACA-AU	Panc-AdenoCA	3c86ba21-7b11-4ec7-9d20-a2325197c676	DO33042
MLLT6->PLXDC1	791091bf-1f86-409d-b44c-b6c79275f5db	MLLT6	PLXDC1	ENSG00000108292	ENSG00000161381	17	36879021	17	37243955	out-of-frame	exon18->exon8	CDS->CDS	TRUE	SVMERGE256_1	NA	direct	direct	ENST00000325718.7:1-2974	ENST00000578390.1:894-2860	ENST00000325718.7^17:36879021:+	ENST00000578390.1^17:37243955:-	PACA-AU	Panc-AdenoCA	5255d645-d3d2-422e-8449-046cd21f4935	DO34809
