yourlist:M201909028471C63D39733769F8E060B506551E123F05953	Entry	Entry name	Status	Protein names	Gene names	Organism	Length		
BARHL2	Q9NY43	BARH2_HUMAN	reviewed	BarH-like 2 homeobox protein	BARHL2	Homo sapiens (Human)	387	Q9NY43	343472
KRTAP4-7	Q9BYR0	KRA47_HUMAN	reviewed	Keratin-associated protein 4-7 (Keratin-associated protein 4.7) (Ultrahigh sulfur keratin-associated protein 4.7)	KRTAP4-7 KAP4.7 KRTAP4.7	Homo sapiens (Human)	210	Q9BYR0	100996750
PLCB3	Q01970	PLCB3_HUMAN	reviewed	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-3) (Phospholipase C-beta-3) (PLC-beta-3)"	PLCB3	Homo sapiens (Human)	1234	Q01970	5331
SLC27A6	Q9Y2P4	S27A6_HUMAN	reviewed	"Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Fatty-acid-coenzyme A ligase, very long-chain 2) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLCSH1) (hVLCS-H1)"	SLC27A6 ACSVL2 FACVL2 FATP1	Homo sapiens (Human)	619	Q9Y2P4	28965
PPEF2	O14830	PPE2_HUMAN	reviewed	Serine/threonine-protein phosphatase with EF-hands 2 (PPEF-2) (EC 3.1.3.16)	PPEF2	Homo sapiens (Human)	753	O14830	5470
SYPL2	Q5VXT5	SYPL2_HUMAN	reviewed	Synaptophysin-like protein 2	SYPL2	Homo sapiens (Human)	272	Q5VXT5	284612
KRT78	Q8N1N4	K2C78_HUMAN	reviewed	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"	KRT78 K5B KB40	Homo sapiens (Human)	520	Q8N1N4	196374
FLAD1	Q8NFF5	FAD1_HUMAN	reviewed	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591	Homo sapiens (Human)	587	Q8NFF5	80308
SYT9	Q86SS6	SYT9_HUMAN	reviewed	Synaptotagmin-9 (Synaptotagmin IX) (SytIX)	SYT9	Homo sapiens (Human)	491	Q86SS6	143425
TNRC18	O15417	TNC18_HUMAN	reviewed	Trinucleotide repeat-containing gene 18 protein (Long CAG trinucleotide repeat-containing gene 79 protein)	TNRC18 CAGL79 KIAA1856	Homo sapiens (Human)	2968	O15417	84629
SLC18A1	P54219	VMAT1_HUMAN	reviewed	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	Homo sapiens (Human)	525	P54219	6570
